date,i
2021-09-18,46
2021-09-19,50.6
2021-09-20,50.8
2021-09-21,45.6
2021-09-22,40.2
2021-09-23,35.6
2021-09-24,31.6
2021-09-25,27.2
2021-09-26,27.2
2021-09-27,28.2
2021-09-28,27.8
2021-09-29,26
2021-09-30,24.4
2021-10-01,24.4
2021-10-02,30
2021-10-03,34.8
2021-10-04,40.8
2021-10-05,48.6
2021-10-06,56.8
2021-10-07,61.2
2021-10-08,66.2
2021-10-09,69.8
2021-10-10,72.2
2021-10-11,72.8
2021-10-12,73.2
2021-10-13,72.4
2021-10-14,72
2021-10-15,72
2021-10-16,73.4
2021-10-17,73.6
2021-10-18,75.2
2021-10-19,76.2
2021-10-20,78.4
2021-10-21,79.6
2021-10-22,78.8
2021-10-23,78
2021-10-24,77.6
2021-10-25,75.6
2021-10-26,74
2021-10-27,73.6
2021-10-28,72
2021-10-29,71.4
2021-10-30,71.6
2021-10-31,71.2
2021-11-01,71.4
2021-11-02,72.8
2021-11-03,74
2021-11-04,74
2021-11-05,73.8
2021-11-06,73.2
2021-11-07,73.2
2021-11-08,73
2021-11-09,75.2
2021-11-10,75.6
2021-11-11,76.8
2021-11-12,77
2021-11-13,76.4
2021-11-14,74.4
2021-11-15,73.8
2021-11-16,72.6
2021-11-17,68.2
2021-11-18,64.6
2021-11-19,56.6
2021-11-20,50.8
2021-11-21,46.4
2021-11-22,46
2021-11-23,41.8
2021-11-24,43.4
2021-11-25,41.2
2021-11-26,40.8
2021-11-27,35
2021-11-28,33.8
2021-11-29,32
2021-11-30,33.6
2021-12-01,31
2021-12-02,33.2
2021-12-03,34
2021-12-04,32.4
2021-12-05,28
2021-12-06,24.4
2021-12-07,23
2021-12-08,22.4
2021-12-09,23.2
2021-12-10,24.4
2021-12-11,24.4
2021-12-12,24.8
2021-12-13,24.8
2021-12-14,23.2
2021-12-15,24
2021-12-16,26.6
2021-12-17,25.8
2021-12-18,25
2021-12-19,26.6
2021-12-20,26
2021-12-21,25.6
2021-12-22,30
2021-12-23,32
2021-12-24,34.4
2021-12-25,37.2
2021-12-26,39.2
2021-12-27,38.2
2021-12-28,39.6
2021-12-29,36.8
2021-12-30,33.4
2021-12-31,31.6
2022-01-01,27.8
2022-01-02,25.4
2022-01-03,25.8
2022-01-04,26
2022-01-05,25.2
2022-01-06,24
2022-01-07,21.8
2022-01-08,18
2022-01-09,18
2022-01-10,17.8
2022-01-11,19
2022-01-12,19.8
2022-01-13,22
2022-01-14,21.6
2022-01-15,21.6
2022-01-16,21.6
2022-01-17,21.6
2022-01-18,22.2
2022-01-19,22.8
2022-01-20,23
2022-01-21,22.6
2022-01-22,20.8
2022-01-23,18.2
2022-01-24,16
2022-01-25,13.6
2022-01-26,14.4
2022-01-27,15.8
2022-01-28,18.4
2022-01-29,20.6
2022-01-30,24
2022-01-31,23.4
2022-02-01,24.6
2022-02-02,25.4
2022-02-03,24.6
2022-02-04,22.8
2022-02-05,25.4
2022-02-06,27.6
2022-02-07,31
2022-02-08,36.6
2022-02-09,43.4
2022-02-10,46.8
2022-02-11,49.4
2022-02-12,49.2
2022-02-13,48.4
2022-02-14,46.8
2022-02-15,46
2022-02-16,46.2
2022-02-17,47.8
2022-02-18,45
2022-02-19,40.8
2022-02-20,37
2022-02-21,31.8
2022-02-22,25.4
2022-02-23,24.4
2022-02-24,24
2022-02-25,24
2022-02-26,24.2
2022-02-27,25.4
2022-02-28,24.4
2022-03-01,30
2022-03-02,35
2022-03-03,37.6
2022-03-04,39
2022-03-05,39.4
2022-03-06,33.6
2022-03-07,27.8
2022-03-08,24.2
2022-03-09,22
2022-03-10,23.2
2022-03-11,23.2
2022-03-12,23
2022-03-13,23
2022-03-14,23.2
2022-03-15,21.8
2022-03-16,22.2
2022-03-17,23.2
2022-03-18,24
2022-03-19,25
2022-03-20,27
2022-03-21,28.2
2022-03-22,28
2022-03-23,29.2
2022-03-24,31.6
2022-03-25,34.8
2022-03-26,39
2022-03-27,43.6
2022-03-28,49.4
2022-03-29,52.6
2022-03-30,54.2
2022-03-31,54.4
2022-04-01,54.6
2022-04-02,53
2022-04-03,51.4
2022-04-04,50.8
2022-04-05,51
2022-04-06,50.6
2022-04-07,47
2022-04-08,44.8
2022-04-09,40.4
2022-04-10,36.6
2022-04-11,33.4
2022-04-12,30.6
2022-04-13,28.2
2022-04-14,27.8
2022-04-15,25.4
2022-04-16,24.6
2022-04-17,26.2
2022-04-18,26
2022-04-19,25.8
2022-04-20,26.8
2022-04-21,26.6
2022-04-22,26.2
2022-04-23,26.2
2022-04-24,25.6
2022-04-25,24.8
2022-04-26,24.8
2022-04-27,23.8
2022-04-28,23.8
2022-04-29,23.6
2022-04-30,23
2022-05-01,22
2022-05-02,23.4
2022-05-03,24
2022-05-04,23.6
2022-05-05,25
2022-05-06,25
2022-05-07,24
2022-05-08,22.2
2022-05-09,20.2
2022-05-10,16.8
2022-05-11,14.8
2022-05-12,12.6
2022-05-13,11
2022-05-14,10.6
2022-05-15,10.6
2022-05-16,11
2022-05-17,10.2
2022-05-18,10.6
2022-05-19,11.4
2022-05-20,12
2022-05-21,11.8
2022-05-22,13
2022-05-23,12.6
2022-05-24,12.4
2022-05-25,12
2022-05-26,11.8
2022-05-27,11.4
2022-05-28,12
2022-05-29,12.4
2022-05-30,12.2
2022-05-31,13
2022-06-01,14
2022-06-02,14
2022-06-03,13.2
2022-06-04,14
2022-06-05,12.8
2022-06-06,12
2022-06-07,12.4
2022-06-08,13.8
2022-06-09,13.2
2022-06-10,13.8
2022-06-11,13.6
2022-06-12,13.4
2022-06-13,12.2
2022-06-14,11.6
2022-06-15,10.4
2022-06-16,9.4
2022-06-17,8.4
2022-06-18,7.4
2022-06-19,7
2022-06-20,7.4
2022-06-21,7.8
2022-06-22,8.2
2022-06-23,9.2
2022-06-24,10.2
2022-06-25,11.2
2022-06-26,12.2
2022-06-27,12.4
2022-06-28,12.2
2022-06-29,12.6
2022-06-30,12
2022-07-01,11.4
2022-07-02,11.8
2022-07-03,12
2022-07-04,12.2
