date,i
2018-12-07,14.4
2018-12-08,13.2
2018-12-09,13.6
2018-12-10,13.6
2018-12-11,14
2018-12-12,14.6
2018-12-13,15.2
2018-12-14,14.4
2018-12-15,12.8
2018-12-16,12.4
2018-12-17,13
2018-12-18,14.8
2018-12-19,17
2018-12-20,20.2
2018-12-21,24.6
2018-12-22,26.8
2018-12-23,28.4
2018-12-24,29.2
2018-12-25,30.4
2018-12-26,28.6
2018-12-27,28.8
2018-12-28,26.8
2018-12-29,26.6
2018-12-30,24.6
2018-12-31,24.6
2019-01-01,23.6
2019-01-02,25.4
2019-01-03,27.2
2019-01-04,32.2
2019-01-05,34.2
2019-01-06,35.6
2019-01-07,37.4
2019-01-08,38.6
2019-01-09,37.4
2019-01-10,37.6
2019-01-11,35.2
2019-01-12,31.8
2019-01-13,28.2
2019-01-14,23
2019-01-15,21
2019-01-16,22
2019-01-17,23.2
2019-01-18,24.8
2019-01-19,27.8
2019-01-20,29.4
2019-01-21,30.6
2019-01-22,30.4
2019-01-23,31.2
2019-01-24,32.4
2019-01-25,32.4
2019-01-26,34.6
2019-01-27,37
2019-01-28,37.4
2019-01-29,34.2
2019-01-30,31.6
2019-01-31,26.8
2019-02-01,23.6
2019-02-02,21
2019-02-03,20.6
2019-02-04,21.6
2019-02-05,22.4
2019-02-06,20.6
2019-02-07,19.8
2019-02-08,23.4
2019-02-09,26.4
2019-02-10,30.2
2019-02-11,36.6
2019-02-12,40.6
2019-02-13,42.8
2019-02-14,44
2019-02-15,44.6
2019-02-16,44
2019-02-17,44
2019-02-18,47
2019-02-19,50.4
2019-02-20,53.6
2019-02-21,56.8
2019-02-22,61.4
2019-02-23,61.4
2019-02-24,62.2
2019-02-25,59.8
2019-02-26,56
2019-02-27,51.6
2019-02-28,46.8
2019-03-01,41.4
2019-03-02,40.2
2019-03-03,41
2019-03-04,40.4
2019-03-05,39.6
2019-03-06,39.6
2019-03-07,42.6
2019-03-08,44.6
2019-03-09,48.4
2019-03-10,52.4
2019-03-11,55.2
2019-03-12,55.2
2019-03-13,55.2
2019-03-14,55.2
2019-03-15,55.2
2019-03-16,54.8
2019-03-17,55.2
2019-03-18,55.6
2019-03-19,55.8
2019-03-20,55.8
2019-03-21,57.4
2019-03-22,57
2019-03-23,55.8
2019-03-24,53.4
2019-03-25,51.6
2019-03-26,47.8
2019-03-27,45.4
2019-03-28,45.2
2019-03-29,46.4
2019-03-30,48.6
2019-03-31,51.2
2019-04-01,54.8
2019-04-02,57
2019-04-03,61.2
2019-04-04,62
2019-04-05,62.6
2019-04-06,63.2
2019-04-07,65
2019-04-08,63.8
2019-04-09,64.4
2019-04-10,65
2019-04-11,65
2019-04-12,59.6
2019-04-13,59
2019-04-14,56.4
2019-04-15,56
2019-04-16,53
2019-04-17,56.8
2019-04-18,57.2
2019-04-19,59.2
2019-04-20,59.6
2019-04-21,62
2019-04-22,62
2019-04-23,62.8
2019-04-24,63.6
2019-04-25,62.8
2019-04-26,58.6
2019-04-27,54.8
2019-04-28,49.2
2019-04-29,44.6
2019-04-30,41.4
2019-05-01,43.4
2019-05-02,45
2019-05-03,49.6
2019-05-04,54.4
2019-05-05,59.4
2019-05-06,60.6
2019-05-07,64.4
2019-05-08,64.4
2019-05-09,65
2019-05-10,65.8
2019-05-11,69.6
2019-05-12,70.8
2019-05-13,73.8
2019-05-14,75.6
2019-05-15,76.8
2019-05-16,76.6
2019-05-17,74.6
2019-05-18,72.4
2019-05-19,70.8
2019-05-20,70
2019-05-21,68.6
2019-05-22,69.4
2019-05-23,69
2019-05-24,67.8
2019-05-25,67
2019-05-26,66.8
2019-05-27,67
2019-05-28,68.2
2019-05-29,69.6
2019-05-30,70.4
2019-05-31,69.2
2019-06-01,67.6
2019-06-02,66
2019-06-03,65
2019-06-04,58.8
2019-06-05,52
2019-06-06,46.4
2019-06-07,39.2
2019-06-08,38.4
2019-06-09,42.4
2019-06-10,46.2
2019-06-11,51.6
2019-06-12,58.2
2019-06-13,58.4
2019-06-14,59.4
2019-06-15,65.2
2019-06-16,69
2019-06-17,73.8
2019-06-18,77.8
2019-06-19,80.8
2019-06-20,82
2019-06-21,82.8
2019-06-22,82.6
2019-06-23,82.8
2019-06-24,82.4
2019-06-25,83.6
2019-06-26,85.8
2019-06-27,87.6
2019-06-28,83.2
2019-06-29,82
2019-06-30,80.2
2019-07-01,74.2
2019-07-02,68.4
2019-07-03,71.8
2019-07-04,72.2
2019-07-05,70
2019-07-06,71.4
2019-07-07,72.2
2019-07-08,71.2
2019-07-09,72.8
2019-07-10,76
2019-07-11,74
2019-07-12,67.2
2019-07-13,65.4
2019-07-14,60.8
2019-07-15,47.4
2019-07-16,41.8
